indicator_id,title,category,ml_tf_stage,plain_english_explanation,ocg_relevance,applicable_tables,required_fields,how_to_use,feature_ideas,caveats_false_positives,external_enrichment_needed,source_ids,last_updated
KYC_SEGMENT_OUTLIER_052,Outlier vs peer segment (occupation/industry/region),Meta/triage,Any,Customer is a strong outlier compared to peers with similar KYC characteristics.,OCGs often operate in pockets; segment outliers can reveal anomalous behavior within a comparable context.,kyc tables + txn tables,"customer_id,occupation_code,industry_code,province,city,income,sales,amount_cad,transaction_datetime,debit_credit","Compute peer percentiles by segment (e.g., industry+province or occupation+province); flag extreme percentiles.",peer_percentile_volume;peer_percentile_velocity;peer_percentile_geo_mismatch,Peer groups can encode bias; use responsibly.,,S_CAN_RISK_ASSESS|S_FINTRAC_IND_FE,2025-12-24
TF_PROXY_053,Many small outward transfers/remittances (micro-funding proxy),TF proxy,TF,Sustained small outward payments can be a TF risk signal when inconsistent with profile and combined with other flags.,"Some TF typologies involve small, repeated payments; requires careful contextual review.",westernunion.csv|eft.csv|emt.csv,"customer_id,amount_cad,transaction_datetime,debit_credit,income,country",Compute small outbound frequency and persistence; compare to peer group; flag persistent anomalous patterns.,small_outbound_count_30d;persistence_score;small_outbound_share,Legitimate family remittances; charity; subscriptions.,High-risk corridor/jurisdiction lists and beneficiary data improve detection.,S_FFIEC_APP_F|S_FINTRAC_IND_FE,2025-12-24
TF_GEO_054,Foreign activity + high velocity (escalation for TF/sanctions screening),TF/sanctions proxy,TF/Layering,"When foreign activity spikes and velocity is high, escalate for TF/sanctions review where applicable.",International movement plus rapid flows can raise exposure to TF/sanctions risks.,card.csv|abm.csv + transfers,"customer_id,country,transaction_datetime,amount_cad,debit_credit","If foreign_share rises and turnover_ratio rises, create an escalation flag (not a determination).",foreign_share_30d;turnover_ratio;geo_change_score,Travel; foreign ecommerce; cross-border business.,,S_FFIEC_APP_F,2025-12-24
GEO_SWITCH_055,Sudden country switch of activity (card/ABM),Geographic anomaly,Any,"Customer’s dominant transaction country changes abruptly, especially without historical precedent.",Abrupt jurisdictional changes can align with laundering campaign phases or account compromise.,card.csv|abm.csv,"customer_id,country,transaction_datetime",Compute dominant country per month; detect switches and novelty; flag abrupt changes.,dominant_country;country_switch_events;novel_country_flag,Travel; relocation.,,S_FINTRAC_IND_FE,2025-12-24
GEO_DISP_056,High geographic dispersion across cities/provinces,Geographic anomaly,Any,"Transactions occur across many cities/provinces in short windows, inconsistent with baseline.",OCG networks may distribute activity across locations to reduce detection.,card.csv|abm.csv + kyc,"customer_id,province,city,transaction_datetime",Count distinct locations and compute dispersion metrics; flag spikes.,distinct_cities_7d;distinct_provinces_30d;geo_dispersion_score,Travel; delivery/ecommerce footprints.,,S_FFIEC_APP_F|S_EUROPOL_SOCTA_2025,2025-12-24
SANCTIONS_ENRICH_057,Activity involving high-risk jurisdictions (requires list),Jurisdiction risk,Any,Transactions involving sanctioned/high-risk jurisdictions should be flagged based on external lists.,"Jurisdictional risk is central to ML/TF risk management, but requires authoritative lists.",card.csv|abm.csv + kyc,"customer_id,country,transaction_datetime,amount_cad",Join on high-risk jurisdiction list and compute shares/changes; flag exposures and spikes.,high_risk_country_share;new_high_risk_country_flag,False positives depend on list scope; use governance.,Requires sanctioned/high-risk jurisdiction lists and policy governance.,S_FFIEC_APP_F,2025-12-24
META_COOC_058,Multiple indicators triggered together (co-occurrence),Meta/triage,Any,Risk increases when several independent red flags appear together for the same customer.,OCG laundering often shows multiple behaviors at once (velocity + mismatch + channel mix).,all,customer_id,Count triggered indicators; prioritize higher counts or weighted combinations for investigation.,indicator_count;weighted_indicator_score;top_indicator_pair,Not strictly additive; context matters.,,S_FINTRAC_IND_FE|S_FFIEC_APP_F,2025-12-24
META_PRODUCT_059,High number of distinct products used (channel breadth),Meta/triage,Layering,"Using many channels (ABM, card, EFT, EMT, wire, WU, cheque) can indicate layering complexity.",Professional launderers diversify methods to reduce single-control effectiveness.,all txn tables,"customer_id,transaction_datetime",Count distinct product tables with activity per 30d; flag high breadth vs peers.,distinct_products_30d;product_switch_rate,Some customers are heavy users legitimately.,,S_FATF_PML_2018,2025-12-24
META_VOL_OUTLIER_060,Volume outlier score (unsupervised),Meta/triage,Any,Customer’s overall volume is an extreme outlier relative to population or segment.,OCG launders large value; volume outliers can be strong signals when controlled for segment.,all txn tables,"customer_id,amount_cad,transaction_datetime",Compute robust outlier scores (median/MAD) on monthly totals; flag extreme values.,monthly_total;robust_z;population_percentile,High net worth customers; businesses.,,S_FINTRAC_IND_FE,2025-12-24
META_VEL_OUTLIER_061,Velocity/turnover outlier score,Meta/triage,Layering,Customer shows unusually high turnover (in+out) even if totals are moderate.,High-velocity ‘transit’ behavior is common in professional laundering and mule cash-out.,eft/emt/wire/cheque + others,"customer_id,amount_cad,debit_credit,transaction_datetime","Compute turnover_ratio and net_flow; flag outliers, especially near net-zero.",turnover_ratio;net_flow_abs;median_lag_credit_to_debit,Bill-pay cycles.,,S_FFIEC_APP_F|S_FATF_PML_2018,2025-12-24
META_LABEL_GEO_062,Geo hotspot proxy using labels (modeling only),Meta/analysis,Any,Aggregate known positives by geography to explore clusters; use cautiously to avoid bias.,"OCG activity can cluster geographically, but models must be governed to avoid discriminatory outcomes.",labels.csv + kyc tables,"customer_id,label,province,city",Compute label_rate by city/province; use only for analysis/feature engineering with fairness checks.,geo_label_rate;cluster_density,Risk of socioeconomic bias; do not use as sole decision factor.,,S_CAN_RISK_ASSESS,2025-12-24
DQ_MISSING_KYC_063,Transaction without matching KYC record,Data quality,Any,Customers transacting without a KYC profile reduce monitoring effectiveness and should be remediated.,KYC gaps can be exploited by criminals; closing gaps strengthens defenses.,kyc tables + txn tables,customer_id,Find customer_ids present in transactions but missing in KYC; escalate remediation.,missing_kyc_flag;missing_kyc_x_volume,Not inherently suspicious; operational gap.,,S_FINTRAC_IND_FE,2025-12-24
DQ_DUP_TXN_064,Duplicate transaction_id within a table,Data quality,Any,Duplicate transaction IDs can distort counts/velocity and cause false alerts or missed risk.,Accurate monitoring requires clean data; otherwise patterns become unreliable.,all txn tables,transaction_id,Check uniqueness constraints per table; remediate duplicates.,dup_txn_rate,Operational issue.,,S_FINTRAC_IND_FE,2025-12-24
DQ_TIME_065,Timestamp quality issues (missing/out-of-order),Data quality,Any,Bad timestamps can hide true sequences and compromise detection.,Sequence indicators depend on timestamps; ensure data quality before modeling.,all txn tables,transaction_datetime,"Validate parseability, time range, and ordering; flag problematic records.",invalid_datetime_rate;missing_datetime_rate,Operational issue.,,S_FINTRAC_IND_FE,2025-12-24
DQ_COUNTRY_066,Invalid/unknown country codes in geo fields,Data quality,Any,Invalid country codes can break geo anomaly / sanctions screening logic.,Geographic risk indicators rely on clean jurisdiction data.,abm.csv|card.csv|kyc tables,country,Validate ISO-like codes; flag unknown/blank and remediate.,invalid_country_rate,Operational issue.,,S_FINTRAC_IND_FE,2025-12-24
MODEL_EXPLAIN_067,Model explanation scaffold: map features back to indicators,Model governance,Any,Maintain a mapping from engineered features to the indicator(s) they represent for explainability.,Explainability is critical for investigator trust and compliance governance.,all,indicator_id,Create a feature→indicator dictionary so model outputs can be explained as triggered patterns.,feature_to_indicator_map;top_feature_contributors,Requires discipline in feature engineering.,,S_FINTRAC_IND_FE|S_FFIEC_APP_F,2025-12-24
